program_name,cpu-cycles,instructions,cache-misses,cache-references
program_4_gogh,500,1500,3,20
program_4_gogh,110000,140000,12,210
program_4_gogh,2000,50,0,0
program_4_gogh,520,180,0,15
program_4_gogh,500,260,4,200
program_4_gogh,5000,450,2,60
program_4_gogh,200,100,0,0
program_4_gogh,15,12,0,1
program_4_gogh,200,80,0,1
program_4_gogh,4000,8000,2,200
program_4_gogh,120000,1500,10,300
program_4_gogh,1000,400,5,200
program_4_gogh,1053462,123456,12,2345
program_4_gogh,2000,1200,5,90
program_4_gogh,14500,2100,4,4
program_4_gogh,2500,500,10,200
program_4_gogh,600,200,3,120
program_4_gogh,1200,600,0,200
program_4_gogh,5000,2000,10,200
program_4_gogh,12345,1200,10,150
program_4_gogh,6000,2500,10,100
program_4_gogh,120000,20000,100,4000
program_4_gogh,4000,850,1,25
program_4_gogh,2800,250,3,12
program_4_gogh,1500000,750000,300,1200
program_4_gogh,8000,2000,20,200
program_4_gogh,25000,2000,2,8
program_4_gogh,3200,6400,1,12
program_4_gogh,200,200,0,5
program_4_gogh,400,200,5,20
program_4_gogh,400,300,3,15
program_4_gogh,1500,500,5,120
program_4_gogh,1400,800,0,15
program_4_gogh,2500,1200,2,8
program_4_gogh,4000,2500,5,45
program_4_gogh,3000,500,3,10
program_4_gogh,1500,750,2,5
program_4_gogh,60000,120000,5,400
program_4_gogh,400000,130000,1000,5000
program_4_gogh,2000,600,5,300
program_4_gogh,2500,1800,0,12
program_4_gogh,24000,1200,10,180
program_4_gogh,3000,3500,2,8
program_4_gogh,2000,1500,0,10
program_4_gogh,18000,6500,30,240
program_4_gogh,20000,5000,0,0
program_4_gogh,150000,12000,50,1200
program_4_gogh,40000,12000,45,500
program_4_gogh,4500,400,5,100
program_4_gogh,500,110,2,25
program_4_gogh,2300,1400,10,150
program_4_gogh,21504,1400,35,1400
program_4_gogh,4200,2600,6,110
program_4_gogh,5000,2500,0,200
program_4_gogh,20000,4000,0,0
program_4_gogh,2000,1800,0,30
