program_name,cpu-cycles,instructions,cache-misses,cache-references
program_4_opencl,30000,15000,5,800
program_4_opencl,7000,2000,5,300
program_4_opencl,1200,800,0,10
program_4_opencl,3000,800,5,50
program_4_opencl,140,180,2,30
program_4_opencl,400,250,3,20
program_4_opencl,5000,2000,2,150
program_4_opencl,1200,300,0,5
program_4_opencl,8000,1500,5,200
program_4_opencl,2000,1200,10,300
program_4_opencl,0,0,0,0
program_4_opencl,5000,2000,5,30
program_4_opencl,500,400,5,50
program_4_opencl,3000,1000,1,5
program_4_opencl,500,400,0,0
program_4_opencl,3000,1500,5,40
program_4_opencl,20000,40000,3,300
program_4_opencl,2000,200,5,50
program_4_opencl,1000,300,2,10
program_4_opencl,4500,4200,10,120
program_4_opencl,1200,300,1,20
program_4_opencl,2000,1000,5,50
program_4_opencl,140,70,6,35
program_4_opencl,500,600,0,10
program_4_opencl,9,0,4,10
program_4_opencl,3500,400,0,2
program_4_opencl,1400,800,5,800
program_4_opencl,500,2000,10,100
program_4_opencl,300,250,1,5
program_4_opencl,8000,12000,60,400
program_4_opencl,2000,500,2,10
program_4_opencl,1200,1500,2,40
program_4_opencl,300,80,0,5
program_4_opencl,4500,1600,2,45
program_4_opencl,5000,800,10,300
program_4_opencl,1200,300,1,90
program_4_opencl,6000,250,1,4
program_4_opencl,6,5,2,2680
program_4_opencl,4000,2500,30,800
program_4_opencl,400000,200000,5000,200000
program_4_opencl,1150,20,1,5
program_4_opencl,5200,400,0,50
program_4_opencl,20000,5000,10,200
program_4_opencl,1000,2000,10,40
program_4_opencl,400,150,5,45
program_4_opencl,80,150,5,150
program_4_opencl,200,300,2,10
program_4_opencl,200,80,0,12
program_4_opencl,5200,2100,0,15
program_4_opencl,120000,50000,20,200
program_4_opencl,4000,1200,2,40
program_4_opencl,500,80,1,5
program_4_opencl,100000,5000,5,100
program_4_opencl,2000,1000,2,20
program_4_opencl,1000,400,5,100
program_4_opencl,5000,2000,5,50
program_4_opencl,0,0,0,0
program_4_opencl,1200,200,1,10
program_4_opencl,1200,2400,15,200
program_4_opencl,2500,2500,0,4
program_4_opencl,2000,3500,10,500
program_4_opencl,100,200,2,10
program_4_opencl,350,35,2,25
program_4_opencl,350,250,15,180
program_4_opencl,200,70,0,20
program_4_opencl,4000,300,2,250
program_4_opencl,3000,800,0,10
program_4_opencl,2000,1500,0,200
program_4_opencl,5200000,1040000,21000,210000
program_4_opencl,200,50,1,8
program_4_opencl,1500,350,0,8
program_4_opencl,400,250,5,100
program_4_opencl,12000,2000,60,600
program_4_opencl,2000,200,5,50
program_4_opencl,200,30,2,10
program_4_opencl,2000,200,0,2
program_4_opencl,2000,400,2,100
program_4_opencl,1500,3000,10,200
program_4_opencl,120,200,0,4
program_4_opencl,2500,1700,2,200
program_4_opencl,500,200,0,8
program_4_opencl,0,0,0,0
program_4_opencl,5000,1500,0,200
program_4_opencl,500,200,0,0
program_4_opencl,28000,150,0,0
program_4_opencl,1000,200,1,10
program_4_opencl,4000,1200,10,50
program_4_opencl,1200,1600,5,40
program_4_opencl,2100,880,3,120
program_4_opencl,350,200,5,30
program_4_opencl,50000,75000,100,500
program_4_opencl,0,0,0,0
program_4_opencl,20000,5000,10,300
program_4_opencl,120,230,1,10
program_4_opencl,5000,1000,2,20
program_4_opencl,0,0,0,0
program_4_opencl,2000,400,0,0
program_4_opencl,100,30,10,60
program_4_opencl,100000,10000,200,5000
program_4_opencl,3000,150,2,10
program_4_opencl,4500,12000,5,200
program_10_opencl,12000,3500,4,12
program_10_opencl,200000,300000,400,12000
program_10_opencl,240,48,2,12
program_10_opencl,5500,1500,0,12
program_10_opencl,0,0,0,0
program_10_opencl,1200,000,0,25600
program_10_opencl,120000,5000,5,100
program_10_opencl,520,250,1,60
program_10_opencl,70000,15000,5,200
program_10_opencl,240,480,0,0
program_10_opencl,40000,5000,6,200
program_10_opencl,80,40,0,2
program_10_opencl,12045,890,2,110
program_10_opencl,5000,3000,2,200
program_10_opencl,500,10,1,2
program_10_opencl,520,212,1,8
program_10_opencl,5000,1500,2,20
program_10_opencl,10000,70,2,50
program_10_opencl,10000,5000,30,2000
program_10_opencl,5000,1200,2,30
program_10_opencl,20000,10000,100,2000
program_10_opencl,5000,1200,10,200
program_10_opencl,70000,52000,12,250
program_10_opencl,200000,40000,50,2000
program_10_opencl,3000,800,0,2
program_10_opencl,5000,1000,0,200
program_10_opencl,0,0,0,0
program_10_opencl,400000,160000,10,300
program_10_opencl,20000,2000,0,1
program_10_opencl,4200,700,21,200
program_10_opencl,1200,40,2,10
program_10_opencl,3000,200,3,150
program_10_opencl,250,300,1,4
program_10_opencl,2000,1500,0,100
program_10_opencl,200,50,0,2
program_10_opencl,24000,12000,80,600
program_10_opencl,5000,600,2,50
program_10_opencl,20000,3000,20,100
program_10_opencl,200,200,1,50
program_10_opencl,200,100,1,20
program_10_opencl,3000,1200,4,160
program_10_opencl,200,600,6,60
program_10_opencl,4000,4000,0,8
program_10_opencl,3000,2500,20,500
program_10_opencl,3000,1000,25,150
program_10_opencl,3500,300,1,20
program_10_opencl,80000,60000,50,200
program_10_opencl,1500,250,6,150
program_10_opencl,300,350,0,4
program_10_opencl,12000,6000,150,3000
program_10_opencl,1024,240,3,5
program_10_opencl,1500,1200,5,300
program_10_opencl,120000,50000,100,2000
program_10_opencl,12000,2000,2,30
program_10_opencl,500,300,0,3
program_10_opencl,1000,300,3,40
program_10_opencl,200,200,0,50
program_10_opencl,2500000,700000,3000,30000
program_10_opencl,2400,350,4,200
program_10_opencl,12345,6789,5,101
program_10_opencl,1000,800,5,50
program_10_opencl,10000,350,0,0
program_10_opencl,5000,3000,0,200
program_10_opencl,100000,50000,1000,5000
program_10_opencl,1088,870,2,150
program_10_opencl,140,45,1,3
program_10_opencl,3000,4000,1,10
program_10_opencl,2000,200,0,15
program_10_opencl,5000,2000,2,40
program_10_opencl,500,300,0,10
program_10_opencl,1200,500,1,20
program_10_opencl,2147,1024,2,8
program_10_opencl,2000,200,1,8
program_10_opencl,5000,2000,2,50
program_10_opencl,200000,100000,15,400
program_10_opencl,2048,2048,4,32
program_10_opencl,1200,300,0,3
program_10_opencl,9500,8000,70,900
program_10_opencl,21500,4800,0,98
program_10_opencl,800,200,20,200
program_10_opencl,70,45,0,3
program_10_opencl,1000000,800000,200,5000
program_10_opencl,1200,800,1,40
program_10_opencl,200,200,5,50
program_10_opencl,5000,1200,20,200
program_10_opencl,20000,5000,0,10
program_10_opencl,1200,700,0,30
program_10_opencl,200,250,0,2
program_10_opencl,480,54,0,12
program_10_opencl,5000,4000,20,200
program_10_opencl,3000,1200,2,10
program_10_opencl,2000,1500,20,200
program_10_opencl,12000000,6000000,7500,350000
program_10_opencl,12000,8000,200,500
program_10_opencl,300,600,2,100
program_10_opencl,5000,400,10,50
program_10_opencl,800,2,350,800
program_10_opencl,1020304,507890,13345,212345
program_10_opencl,2000,200,2,10
program_10_opencl,20000,5000,1,4
program_10_opencl,2000,1200,50,500
program_1_gogh,400,450,1,15
program_1_gogh,2000000,47000,4,1200
program_1_gogh,4000,12000,1,200
program_1_gogh,7000,4000,1,10
program_1_gogh,2500,1200,30,300
program_1_gogh,1200,600,2,24
program_1_gogh,2000,500,50,400
program_1_gogh,500,200,2,10
program_1_gogh,12000,900,3,60
program_1_gogh,1024,512,8,32
program_1_gogh,123456,78910,55,112
program_1_gogh,15687,21430,41,512
program_1_gogh,4000,2500,0,100
program_1_gogh,3,2,0,5
program_1_gogh,30000,4500,75,950
program_1_gogh,50000,20000,400,4000
program_1_gogh,200,100,1,2
program_1_gogh,2000,1000,2,50
