program_name,cpu-cycles,instructions,cache-misses,cache-references
program_4_gogh,12000,1300,3,350
program_4_gogh,2000,400,4,80
program_4_gogh,2000,500,0,50
program_4_gogh,20000,50000,10,1000
program_4_gogh,300,140,0,0
program_4_gogh,420,300,2,12
program_4_gogh,200,40,0,0
program_4_gogh,5500,2500,1,40
program_4_gogh,4000,8000,5,50
program_4_gogh,1200,300,5,25
program_4_gogh,1040,2100,4,35
program_4_gogh,20000,18000,20,200
program_4_gogh,1843,520,2,12
program_4_gogh,500,600,2,8
program_4_gogh,20256,15072,8,128
program_4_gogh,2500,1200,0,8
program_4_gogh,11987,2550,7,66
program_4_gogh,600,250,0,3
program_4_gogh,1200,350,0,20
program_4_gogh,3000,2500,20,200
program_4_gogh,2000,1200,5,60
program_4_gogh,5200,2100,6,35
program_4_gogh,200,120,1,5
program_4_gogh,1000,500,10,100
program_4_gogh,260,70,1,3
program_4_gogh,180,98,0,4
program_4_gogh,48000,15000,3,20
program_4_gogh,1024,1024,8,64
program_4_gogh,48000,1500,2,80
program_4_gogh,40,25,0,1
program_4_gogh,50000,6000,20,200
program_4_gogh,200,150,0,0
program_4_gogh,10000,2000,1,200
program_4_gogh,150,50,0,8
program_4_gogh,2000,1000,10,50
program_4_gogh,2000,1500,2,20
program_4_gogh,2500,450,1,20
program_4_gogh,32000,1800,5,250
program_4_gogh,1500,1200,15,50
program_4_gogh,2000,1800,0,0
program_4_gogh,2500,1200,2,20
program_4_gogh,8000,3500,8,200
program_4_gogh,1500,750,5,30
program_4_gogh,3000,300,0,1
program_4_gogh,1200,420,3,18
program_4_gogh,120000,30000,2,8
program_4_gogh,2000,200,3,30
program_4_gogh,100000,200000,60,1200
program_4_gogh,1500,1200,10,512
program_4_gogh,19856,4620,9,112
program_4_gogh,3000,700,1,10
program_4_gogh,8000,1600,6,120
program_4_gogh,500,300,1,20
program_4_gogh,2600,2100,12,120
program_4_gogh,123456,123456,321,4321
program_4_gogh,20000,15000,20,100
program_4_gogh,20000,15000,50,500
program_4_gogh,112000,36000,110,1500
program_4_gogh,2150,850,2,320
program_4_gogh,250,180,3,12
program_4_gogh,5200,512,5,510
program_4_gogh,2000,300,0,2
program_4_gogh,1024,512,1,4
program_4_gogh,800,600,2,40
program_4_gogh,250,80,1,10
program_4_gogh,10248,523,4,58
program_4_gogh,10000,4000,2,10
program_4_gogh,5000,400,2,20
program_4_gogh,200000,30000,5,500
program_4_gogh,115000,11000,10,40
program_4_gogh,3000,2000,5,50
program_4_gogh,1500,2000,5,100
program_4_gogh,2500,400,1,3
program_4_gogh,20000,4000,10,200
program_4_gogh,500,300,0,0
program_4_gogh,250,50,1,10
program_4_gogh,4000,1600,0,2
program_4_gogh,12000,7000,32,512
program_4_gogh,1500,350,0,12
program_4_gogh,10240,1080,4,280
program_4_gogh,50,20,0,2
program_4_gogh,110,90,5,10
program_4_gogh,15000,2500,0,200
program_4_gogh,1500,400,1,10
program_4_gogh,200,400,0,3
program_4_gogh,1500,400,2,10
program_4_gogh,2000,500,2,10
program_4_gogh,300,200,0,10
program_4_gogh,900,1000,5,200
program_4_gogh,1000,2000,50,300
program_4_gogh,0,0,0,0
program_4_gogh,6000,5000,5,250
program_4_gogh,2500,2000,2,30
program_4_gogh,6000,1200,5,500
program_4_gogh,2100,1900,7,310
program_4_gogh,40000,5000,5,100
program_4_gogh,5000000,1200000,2000,40000
program_4_gogh,2560,3890,3,80
program_4_gogh,210000,4500,1,8
program_4_gogh,1200,200,3,100
program_4_gogh,6000,1200,1,25
program_2_gogh,2000,400,0,20
program_2_gogh,4000,3500,10,300
program_2_gogh,10000,5000,100,1000
program_2_gogh,12000,9000,70,800
program_2_gogh,2000,600,2,20
program_2_gogh,200,210,0,5
program_2_gogh,420,250,4,18
program_2_gogh,1000,500,0,10
program_2_gogh,2000,700,50,400
program_2_gogh,2500,600,2,5
program_2_gogh,200,150,0,5
program_2_gogh,2000,2000,50,200
program_2_gogh,6000,4800,1,30
program_2_gogh,2000,300,1,15
program_2_gogh,45000,90000,100,1200
program_2_gogh,12000000,2500000,1200,18000
program_2_gogh,1520,290,1,8
program_2_gogh,10,2,10,10
program_2_gogh,40000,35000,5,200
program_2_gogh,1200,900,8,250
program_2_gogh,1500,400,1,20
program_2_gogh,60000,4000,4,200
program_2_gogh,2000,2000,5,500
program_2_gogh,50000,5000,15,200
program_2_gogh,5000000,2000000,6000,250000
program_2_gogh,1500,350,2,10
program_2_gogh,2000,200,0,10
program_2_gogh,5500,1500,10,50
program_2_gogh,8000,6000,100,2000
program_2_gogh,2100,2500,3,15
program_2_gogh,400,180,0,3
program_2_gogh,6000,1300,30,300
program_2_gogh,512,0,20,50
program_2_gogh,270,310,0,5
program_2_gogh,7500,5000,30,300
program_2_gogh,6000,250,1,30
program_2_gogh,1200,400,1,10
program_2_gogh,50000,25000,1,8
program_2_gogh,2000,1500,50,400
program_2_gogh,22000,16000,3,45
program_2_gogh,1000,150,0,5
program_2_gogh,5000,2000,5,50
program_2_gogh,1547,1305,11,113
program_2_gogh,1200,2500,1,5
program_2_gogh,8500,2100,30,145
program_2_gogh,4800,2400,1,25
program_2_gogh,5000,200,0,2
program_2_gogh,300000,200000,5,50
program_2_gogh,20000,3000,2,10
program_2_gogh,200000,200000,30,1200
program_2_gogh,12000000,3500000,6000,120000
program_2_gogh,200,120,2,100
program_2_gogh,4000,3500,1,5
program_2_gogh,26000,15000,60,800
program_2_gogh,120,30,0,2
program_2_gogh,8000,200,5,10
program_2_gogh,10000,2000,5,20
program_2_gogh,500,300,5,10
program_2_gogh,2000000,200000,20,2000
program_2_gogh,2000,400,5,20
program_2_gogh,3500,120,1,8
program_2_gogh,8000,1700,4,40
program_2_gogh,2000,500,10,200
program_2_gogh,55000,12000,10,150
program_2_gogh,20480,6000,4,32
program_2_gogh,1800,3000,15,40
program_2_gogh,3500,250,0,5
program_2_gogh,132450,71230,210,3456
program_2_gogh,5000,3500,1,200
program_2_gogh,3700,2800,35,650
program_2_gogh,200000,500000,10,1500
program_2_gogh,600,200,0,10
program_2_gogh,3500,1800,5,80
program_2_gogh,7000,6000,0,15
program_2_gogh,120000,40000,30,1200
program_2_gogh,3500,1180,3,55
program_2_gogh,50000,20000,10,100
program_2_gogh,2125,350,0,22
program_2_gogh,450,190,0,7
program_2_gogh,2000,500,5,50
program_2_gogh,2000,1500,100,1500
program_2_gogh,4000,250,2,40
program_2_gogh,1000,800,0,14
program_2_gogh,2000000,800,10,200
program_2_gogh,250,250,1,50
program_2_gogh,20000,5000,4,70
program_2_gogh,2000,200,0,20
program_2_gogh,250,200,3,25
program_2_gogh,1500,600,2,10
program_2_gogh,1000,800,5,10
program_2_gogh,2630,182,7,115
program_2_gogh,250000,120000,800,15000
program_2_gogh,1200,900,1,2
program_2_gogh,120000,240000,12,150
program_2_gogh,500,100,0,3
program_2_gogh,700,200,1,5
program_2_gogh,500,800,1,15
program_2_gogh,300,350,30,120
program_2_gogh,2,500,8,30
program_2_gogh,450,240,2,55
program_2_gogh,4000,1200,150,900
program_1_opencl,2000,200,2,20
program_1_opencl,2800,500,2,10
program_1_opencl,2000,3000,200,1000
program_1_opencl,250,510,3,75
program_1_opencl,1000,1500,5,30
program_1_opencl,1200,600,5,200
program_1_opencl,500,200,5,30
program_1_opencl,4000,1200,12,180
program_1_opencl,1800,1700,2,90
program_1_opencl,1500000,60000,120,2500
program_1_opencl,5000,4000,5,200
program_1_opencl,350000,9000,15,250
program_1_opencl,10000,1000,1,50
program_1_opencl,85000,15000,30,600
program_1_opencl,12000,18000,8,150
program_1_opencl,150,120,0,5
program_1_opencl,250,90,2,6
program_1_opencl,1500,2500,5,120
program_1_opencl,150,200,0,5
program_1_opencl,1200,1800,15,300
program_1_opencl,2500,550,1,25
program_1_opencl,40000,30000,5,200
program_1_opencl,1200,400,1,8
program_1_opencl,1200,800,1,4
program_1_opencl,500,500,0,0
program_1_opencl,9000,8000,15,150
program_1_opencl,2000,600,4,12
program_1_opencl,4000,2000,10,1000
program_1_opencl,220,120,0,10
program_1_opencl,250000,60000,5,150
program_1_opencl,20000,15000,20,200
program_1_opencl,4000,1200,10,120
program_1_opencl,5000,4800,5,5000
program_1_opencl,5000,1500,5,100
program_1_opencl,2000,350,2,20
program_1_opencl,2000,3000,20,1500
program_1_opencl,1800,650,1,12
program_1_opencl,12000,10000,70,1800
program_1_opencl,2000,200,0,10
program_1_opencl,600,300,0,0
program_1_opencl,5000,3000,5,50
program_1_opencl,1200,4000,0,20
program_1_opencl,85000,170000,500,4000
program_1_opencl,10000,2000,10,50
program_1_opencl,250,180,1,12
program_1_opencl,200,160,0,8
program_1_opencl,15000,1200,3,250
program_1_opencl,210,650,1,5
program_1_opencl,40000,12000,5,50
program_1_opencl,300,200,1,4
program_1_opencl,4,000,0,8
program_1_opencl,345678,12345,345,6789
program_1_opencl,2250,4500,2,120
program_1_opencl,1200,2000,2,15
program_1_opencl,200,100,2,20
program_1_opencl,5200,2100,6,22
program_1_opencl,512,400,0,8
program_1_opencl,5000,2000,10,150
program_1_opencl,4000,800,2,20
program_1_opencl,2000,1000,0,10
program_1_opencl,12000,2300,2,44
program_1_opencl,3000000,500000,0,5000
program_1_opencl,15000,5000,120,2000
program_1_opencl,500,600,5,50
program_1_opencl,2000,500,2,10
program_1_opencl,5000,3500,5,200
program_1_opencl,800,350,1,6
program_1_opencl,3000,25,0,0
program_1_opencl,0,0,0,0
program_1_opencl,1500,350,0,180
program_1_opencl,120000,250000,2000,30000
program_1_opencl,1000,200,5,100
program_1_opencl,14000,500,5,60
program_1_opencl,1200,900,0,30
program_1_opencl,3,000,2,20
program_1_opencl,4000,350,0,25
program_1_opencl,10902,3305,12,90
program_1_opencl,200000,15000,500,5000
program_1_opencl,25000,350,0,20
program_1_opencl,7200,2800,2,210
program_1_opencl,65000,2200,2,25
program_1_opencl,4000,600,0,20
program_1_opencl,1200000,200000,100,5000
program_1_opencl,12000,6000,5,100
program_1_opencl,600,350,15,200
program_1_opencl,30000,20000,25,1800
program_1_opencl,350000,75000,200,15000
program_1_opencl,5000,400,0,30
program_1_opencl,5000,400,0,20
program_1_opencl,1200,2000,5,50
program_1_opencl,40000,3000,10,200
program_1_opencl,4800,1200,1,3
program_1_opencl,1500,1200,5,50
program_1_opencl,60000,6500,15,300
program_1_opencl,2000,400,1,90
program_1_opencl,12212,8904,48,350
program_1_opencl,2000,1500,20,200
program_1_opencl,2000,1500,1,5
program_1_opencl,200,150,2,10
program_1_opencl,2000,1500,20,400
program_1_opencl,0,0,0,0
