Characteristic
1% cache misses
1% latency
1% throughput
1% power efficiency
1% error rate
1% bandwidth utilization
2% cache misses
2% latency
2% throughput
2% power efficiency
2% error rate
2% bandwidth utilization
3% cache misses
3% latency
3% throughput
3% power efficiency
3% error rate
3% bandwidth utilization
4% cache misses
4% latency
4% throughput
4% power efficiency
4% error rate
4% bandwidth utilization
5% cache misses
5% latency
5% throughput
5% power efficiency
5% error rate
5% bandwidth utilization
6% cache misses
6% latency
6% throughput
6% power efficiency
6% error rate
6% bandwidth utilization
7% cache misses
7% latency
7% throughput
7% power efficiency
7% error rate
7% bandwidth utilization
8% cache misses
8% latency
8% throughput
8% power efficiency
8% error rate
8% bandwidth utilization
9% cache misses
9% latency
9% throughput
9% power efficiency
9% error rate
9% bandwidth utilization
10% cache misses
10% latency
10% throughput
10% power efficiency
10% error rate
10% bandwidth utilization
11% cache misses
11% latency
11% throughput
11% power efficiency
11% error rate
11% bandwidth utilization
12% cache misses
12% latency
12% throughput
12% power efficiency
12% error rate
12% bandwidth utilization
13% cache misses
13% latency
13% throughput
13% power efficiency
13% error rate
13% bandwidth utilization
14% cache misses
14% latency
14% throughput
14% power efficiency
14% error rate
14% bandwidth utilization
15% cache misses
15% latency
15% throughput
15% power efficiency
15% error rate
15% bandwidth utilization
16% cache misses
16% latency
16% throughput
16% power efficiency
16% error rate
16% bandwidth utilization
17% cache misses
17% latency
17% throughput
17% power efficiency
17% error rate
17% bandwidth utilization
18% cache misses
18% latency
18% throughput
18% power efficiency
18% error rate
18% bandwidth utilization
19% cache misses
19% latency
19% throughput
19% power efficiency
19% error rate
19% bandwidth utilization
20% cache misses
20% latency
20% throughput
20% power efficiency
20% error rate
20% bandwidth utilization
21% cache misses
21% latency
21% throughput
21% power efficiency
21% error rate
21% bandwidth utilization
22% cache misses
22% latency
22% throughput
22% power efficiency
22% error rate
22% bandwidth utilization
23% cache misses
23% latency
23% throughput
23% power efficiency
23% error rate
23% bandwidth utilization
24% cache misses
24% latency
24% throughput
24% power efficiency
24% error rate
24% bandwidth utilization
25% cache misses
25% latency
25% throughput
